# generated_by: scripts/build_concept_map.py
# generated_on: 2026-08-12
# vocabulary_source: OHDSI WebAPI 2.14.0
# vocabulary_service: https://atlas-demo.ohdsi.org/WebAPI
# source_corpus: data/fhir
# distinct_codings: 217
# resolution_counts: {"source_only": 11, "standard": 202, "unresolved": 4}
# licence_note: Derived from the OHDSI standardised vocabularies via a public WebAPI instance. Only the codes present in this repository's sample data are included. The vocabulary itself is licence-gated and is not redistributed here.
source_system,source_code,source_display,source_concept_id,target_concept_id,target_concept_name,target_domain_id,target_vocabulary_id,target_standard_concept,resolution,resolved_at,resolver
http://loinc.org,93025-5,"Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]",37021305,37021305,"Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]",Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93026-3,Do you feel physically and emotionally safe where you currently live [PRAPARE],37020108,37020108,Do you feel physically and emotionally safe where you currently live [PRAPARE],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93027-1,Are you a refugee,37020580,37020580,Are you a refugee,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93028-9,"Have you spent more than 2 nights in a row in a jail, prison, detention center, or juvenile correctional facility in pas",37021367,37021367,"Have you spent more than 2 nights in a row in a jail, prison, detention center, or juvenile correctional facility in past 1 year [PRAPARE]",Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93029-7,How often do you see or talk to people that you care about and feel close to [PRAPARE],37020032,37020032,How often do you see or talk to people that you care about and feel close to [PRAPARE],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93030-5,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily l",37020730,37020730,"Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living",Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93031-3,Have you or any family members you live with been unable to get any of the following when it was really needed in past 1,37020774,37020774,Have you or any family members you live with been unable to get any of the following when it was really needed in past 1 year [PRAPARE],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93033-9,Are you worried about losing your housing [PRAPARE],37020172,37020172,Are you worried about losing your housing [PRAPARE],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93034-7,Discharged from the U.S. Armed Forces,37021580,37021580,Discharged from the U.S. Armed Forces,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93035-4,Has season or migrant farm work been your or your family's main source of income at any point in past 2 years [PRAPARE],37020846,37020846,Has season or migrant farm work been your or your family's main source of income at any point in past 2 years [PRAPARE],Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,93038-8,Stress level,37020116,37020116,Stress level,Observation,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,9843-4,Head Occipital-frontal circumference,3000053,3000053,Head Occipital-frontal circumference,Measurement,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA13863-8,A little bit,45881667,45881667,A little bit,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA13902-4,Quite a bit,45884456,45884456,Quite a bit,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA13909-9,Somewhat,45876385,45876385,Somewhat,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA17956-6,Unemployed,45877709,45877709,Unemployed,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA27722-0,Less than once a week,36210209,36210209,Less than once a week,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30122-8,I choose not to answer this question,37079361,37079361,I choose not to answer this question,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30127-7,Child care,37079193,37079193,Child care,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30128-5,"Medicine or Any Health Care (Medical, Dental, Mental Health, Vision)",37079467,37079467,"Medicine or Any Health Care (Medical, Dental, Mental Health, Vision)",Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30129-3,Phone,37079461,37079461,Phone,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30130-1,1 or 2 times a week,37079316,37079316,1 or 2 times a week,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30131-9,3 to 5 times a week,37079275,37079275,3 to 5 times a week,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30132-7,5 or more times a week,37079490,37079490,5 or more times a week,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30136-8,Full-time work,37079092,37079092,Full-time work,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30137-6,"Otherwise unemployed but not seeking work (ex: student, retired, disabled, unpaid primary care giver)",37079231,37079231,"Otherwise unemployed but not seeking work (ex: student, retired, disabled, unpaid primary care giver)",Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30138-4,Part-time or temporary work,37079331,37079331,Part-time or temporary work,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30189-7,I have housing,37079501,37079501,I have housing,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30191-3,Less than high school degree,37079293,37079293,Less than high school degree,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA30193-9,More than high school,37079441,37079441,More than high school,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA32-8,No,45878245,45878245,No,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA33-6,Yes,45877994,45877994,Yes,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA43-5,English,45882691,45882691,English,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA4457-3,White,45877987,45877987,White,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA6350-8,Private insurance,45877444,45877444,Private insurance,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://loinc.org,LA6568-5,Not at all,45883172,45883172,Not at all,Meas Value,LOINC,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,103697008,Patient referral for dental care (procedure),4304200,4304200,Patient referral for dental care,Observation,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,10509002,Acute bronchitis (disorder),260139,260139,Acute bronchitis,Condition,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,109570002,Primary dental caries (disorder),40274283,40274283,Primary dental caries,Condition,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,111088007,Latex (substance),4008070,0,,,SNOMED,,source_only,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,1121000119107,Chronic neck pain (finding),43530622,43530622,Chronic neck pain,Condition,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,124171000119105,Chronic intractable migraine without aura (disorder),43530652,43530652,Chronic intractable migraine without aura,Condition,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,1256042007,Restoration of tooth with coverage of all cusps using dental filling material (procedure),37154051,37154051,Restoration of tooth with full cuspal coverage using dental filling material,Procedure,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,1259293006,Application of composite dental filling material to dentin of tooth following fracture of tooth (procedure),37158454,37158454,Application of composite dental filling material to dentin of tooth following fracture of tooth,Procedure,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,1260009003,Removal of supragingival plaque and calculus from all teeth using dental instrument (procedure),37166719,37166719,Removal of supragingival plaque and calculus from all teeth using dental instrument,Procedure,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,1260010008,Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure),37166720,37166720,Removal of subgingival plaque and calculus from all teeth using dental instrument,Procedure,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,160903007,Full-time employment (finding),4053118,4053118,Full-time employment,Observation,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,160904001,Part-time employment (finding),4059634,4059634,Part-time employment,Observation,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,160968000,Risk activity involvement (finding),4059650,4059650,Risk activity involvement,Observation,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,161744009,Past pregnancy history of miscarriage (situation),4060188,0,,,SNOMED,,source_only,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,162673000,General examination of patient (procedure),4036803,4036803,General examination of patient,Procedure,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
http://snomed.info/sct,171207006,Depression screening (procedure),4064377,4064377,Depression screening,Measurement,SNOMED,S,standard,2026-08-12,https://atlas-demo.ohdsi.org/WebAPI
